telnet@STP_A#show ipv6 route 
IPv6 Routing Table - 400 entries:
"Type Codes:  C - Connected, S - Static, R - RIP, O - OSPF, B - BGP, I - ISIS"
Type IPv6 Prefix                Next Hop Router           Interface  Dis/Metric
O1 2402:f000:1:10a1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:10c1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:10e1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:1101::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:1181::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:11a1::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:11c1::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:11e1::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
C  2402:f000:1:1201::/64        ::                        e 3/1       0/0
O1 2402:f000:1:1301::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:1341::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:1361::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:1381::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:1801::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2030
O1 2402:f000:1:1901::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:1:1902::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:1:1b61::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:1c01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
C  2402:f000:1:1d01::/64        ::                        e 3/5       0/0
O1 2402:f000:1:1e01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:1:2381::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2010
O1 2402:f000:1:2601::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:2981::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:2a01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:2e01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:2f01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:3201::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:3401::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:3801::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:3901::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:3a41::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:3b01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:4400::/56        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:4701::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2040
O1 2402:f000:1:4c01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:4f02::/63        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:5000::/56        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:5601::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
O1 2402:f000:1:5802::/63        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:5902::/63        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O1 2402:f000:1:5a01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2020
O  2402:f000:1:5c01::/64        fe80::201:e8ff:fe1f:3547  e 1/2       110/2000
O1 2402:f000:1:5d80::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:5e01::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:6000::/56        fe80::20b:bfff:fe27:4800  e 1/1       110/2050
                                fe80::201:e8ff:fe1f:3547  e 1/2      
O1 2402:f000:1:6801::/64        fe80::20b:bfff:fe27:4800  e 1/1       110/2000
